uniqueID,reportedTime,clearedTime,timeType,siteCode,cellName,count,cell,l_cellDown,l_siteDown
U2K2N:8551:56.3756732047606978,2021-08-21 13:01:16,2021-08-21 13:27:46,on,AG2U0859,AG2U0859C2,6,3,1,0
U2K2N:8551:56.3756731934833427,2021-08-21 13:01:16,2021-08-21 13:27:46,on,AG2U0859,AG2U0859A1,6,4,1,0
U2K2N:8551:56.3756731980231130,2021-08-21 13:01:16,2021-08-21 13:27:46,on,AG2U0859,AG2U0859C1,6,5,1,0
U2K2N:8551:56.3756731973627995,2021-08-21 13:01:16,2021-08-21 13:27:46,on,AG2U0859,AG2U0859A2,6,1,1,0
U2K2N:8551:56.3756731987140316,2021-08-21 13:01:16,2021-08-21 13:27:46,on,AG2U0859,AG2U0859B1,6,2,1,1
U2K2N:8551:56.3756731980231130,2021-08-21 13:27:46,,off,AG2U0859,AG2U0859C1,6,5,0,0
U2K2N:8551:56.3756731934833427,2021-08-21 13:27:46,,off,AG2U0859,AG2U0859A1,6,4,0,0
U2K2N:8551:56.3756731973627995,2021-08-21 13:27:46,,off,AG2U0859,AG2U0859A2,6,1,0,0
U2K2N:8551:56.3756731966262768,2021-08-21 13:27:46,,off,AG2U0859,AG2U0859B2,6,6,0,0
U2K2N:8551:56.3756731987140316,2021-08-21 13:27:46,,off,AG2U0859,AG2U0859B1,6,2,0,0
U2K2N:8551:56.3756732047606978,2021-08-21 13:27:46,,off,AG2U0859,AG2U0859C2,6,3,0,0
U2K2N:8551:56.3758673494781166,2021-08-21 13:33:38,2021-08-21 13:38:14,on,AS2U0120,AS2U0120C2,6,5,0,0
U2K2N:8551:56.3758673460964069,2021-08-21 13:33:38,2021-08-21 13:38:14,on,AS2U0120,AS2U0120A1,6,6,0,0
U2K2N:8551:56.3758673531748324,2021-08-21 13:33:38,2021-08-21 13:38:14,on,AS2U0120,AS2U0120B1,6,4,0,0
U2K2N:8551:56.3758673505124371,2021-08-21 13:33:38,2021-08-21 13:38:14,on,AS2U0120,AS2U0120B2,6,1,0,0
U2K2N:8551:56.3758673522069063,2021-08-21 13:33:38,2021-08-21 13:38:14,on,AS2U0120,AS2U0120C1,6,3,0,0
U2K2N:8551:56.3758673513199212,2021-08-21 13:33:38,2021-08-21 13:38:14,on,AS2U0120,AS2U0120A2,6,2,0,0
U2K2N:8551:56.3758673505124371,2021-08-21 13:38:14,,off,AS2U0120,AS2U0120B2,6,1,0,0
U2K2N:8551:56.3758673513199212,2021-08-21 13:38:14,,off,AS2U0120,AS2U0120A2,6,2,0,0
U2K2N:8551:56.3758673460964069,2021-08-21 13:38:14,,off,AS2U0120,AS2U0120A1,6,6,0,0
U2K2N:8551:56.3758673494781166,2021-08-21 13:38:14,,off,AS2U0120,AS2U0120C2,6,5,0,0
U2K2N:8551:56.3758673522069063,2021-08-21 13:38:14,,off,AS2U0120,AS2U0120C1,6,3,0,0
U2K2N:8551:56.3758673531748324,2021-08-21 13:38:14,,off,AS2U0120,AS2U0120B1,6,4,0,0
